id,name,value
0,"I need to buy groceries today.
",0.5
1,"She loves reading books in her free time.
",0.5
2,"The weather is beautiful this morning.
",0.5
3,"He forgot his keys at home.
",0.5
4,"We went to the park yesterday.
",0.5
5,"They are planning a trip to the mountains.
",0.5
6,"I enjoy cooking new recipes.
",0.5
7,"She is learning to play the guitar.
",0.5
8,"The movie starts at 7 PM.
",0.5
9,"He works at a software company.
",0.5
10,"We need to clean the house this weekend.
",0.5
11,"She likes to jog every morning.
",0.5
12,"The cat is sleeping on the couch.
",0.5
13,"He has a meeting at 10 AM.
",0.5
14,"We had a delicious dinner last night.
",0.5
15,"She bought a new dress for the party.
",0.5
16,"He is watching a football game.
",0.5
17,"We should call our parents more often.
",0.5
18,"She enjoys painting landscapes.
",0.5
19,"The kids are playing in the backyard.
",0.5
20,"He is studying for his exams.
",0.5
21,"We need to fix the leaky faucet.
",0.5
22,"She made a cake for his birthday.
",0.5
23,"He likes to fish on the weekends.
",0.5
24,"We are planning a surprise party.
",0.5
25,"She is practicing yoga in the living room.
",0.5
26,"The dog needs a bath.
",0.5
27,"He is listening to music.
",0.5
28,"We are going to the beach next weekend.
",0.5
29,"She likes to write in her journal.
",0.5
30,"He is reading a novel.
",0.5
31,"We need to buy more coffee.
",0.5
32,"She is baking cookies.
",0.5
33,"The children are doing their homework.
",0.5
34,"He went for a run this morning.
",0.5
35,"We are having guests over for dinner.
",0.5
36,"She is knitting a scarf.
",0.5
37,"He likes to play chess.
",0.5
38,"We should go for a hike.
",0.5
39,"She is organizing her closet.
",0.5
40,"He enjoys gardening.
",0.5
41,"We watched a great movie last night.
",0.5
42,"She is learning a new language.
",0.5
43,"He is fixing his bike.
",0.5
44,"We are going to the zoo tomorrow.
",0.5
45,"She likes to draw.
",0.5
46,"The car needs an oil change.
",0.5
47,"He is playing video games.
",0.5
48,"We need to take out the trash.
",0.5
49,"She is sewing a dress.
",0.5
50,"He is practicing the piano.
",0.5
51,"We are hosting a barbecue.
",0.5
52,"She enjoys hiking.
",0.5
53,"The lawn needs mowing.
",0.5
54,"He is learning how to code.
",0.5
55,"We are going to a concert.
",0.5
